nan
Al Pacino
Joe Charbanic
Todd Phillips
James Young
Martin Ritt
Jim Mallon
Ismail Merchant
Daniel Vigne
James Bruce
Brian Robbins
Stephen Surjik
Frank Lloyd
Robert Hiltzik
Richard Shepard
Jim Gillespie
King Vidor
Tom Berry
John Nicolella
David S. Ward
Stanley Tucci
Bill Ryan
Joseph Ruben
Benjamin Ross
Tim Robbins
Stuart Baird
Joseph Bologna
Peter Duncan
Richard Franklin
Takao Okawara
Myles Connell
Robert Duvall
Lawrence Kasdan
Richard W. Haines
Ventura Pons
Alan Mehrez
Jan Bucquoy
David Hogan
Ralph Zondag
Joe Camp
Christina Andreef
Andrey Konchalovskiy
Felix E. Feist
Jefery Levy
Robert Mandel
Sam Weisman
Robert Meyer Burnett
Eric Blakeney
Charlie Peters
Bruce Pittman
Richard Wherrett
Bernard Girard
Michael Curtiz
Hervé Palud
Edward Ludwig
Bradley Battersby
Jerry London
David Siegel
Daniel Pyne
Edwin L. Marin
Mark Robson
Roy Ward Baker
Russell S. Doughten Jr.
Michael Patrick Jann
Hettie Macdonald
Tommy Chong
Merzak Allouache
Gary Halvorson
Don Paul
Heywood Gould
Tomás Gutiérrez Alea
Alexander Payne
Ringo Lam
Michael Austin
Doug Block
Thomas Haneke
Peter Brook
Julio Medem
Stan Dragoti
Tim Metcalfe
Jack Smight
Richard Loncraine
Darryl F. Zanuck
Michael Winner
Eric Meza
Alan Shapiro
Adam Abraham
J. Todd Anderson
Michael Paxton
Paul Greengrass
Mic Rodgers
Christopher Guest
Brad Silberling
Vincente Minnelli
Billy Bob Thornton
Bill Duke
Leonard Nimoy
John Hamburg
Emma-Kate Croghan
François Girard
Rusty Cundieff
Mark Rydell
Jason Bloom
Meng Hua Ho
Michele Soavi
Yves Angelo
Miguel Arteta
Ice Cube
Gene Kelly
Phil Joanou
Joel B. Marsden
Anthony Hickox
Catherine Cyran
Jeff Blyth
Iain Softley
Philip Saville
Jenniphr Goodman
Seth Zvi Rosenfeld
Richard Gordon
Mick Garris
Emile Ardolino
John Herzfeld
Mel Gibson
Lisa Krueger
Gene Wilder
Chantal Akerman
Larry Leker
Richard Attenborough
David R. Ellis
Sean S. Cunningham
Jamie Babbit
Whit Stillman
Ron Clements
Anthony Mann
Hampton Fancher
Tôru Murakawa
Antonio Banderas
Anthony Hopkins
Ken Kwapis
Zalman King
James Clavell
Michael Goldenberg
Kevin Brownlow
Harsh Mainra
Freida Lee Mock
Avi Nesher
John Frankenheimer
Doug Liman
Kristine Peterson
Orson Welles
Tobe Hooper
John Dahl
William Roth
Jeff Burr
Terry Jones
Robert Kurtzman
Jeffrey Obrow
Ulrike Koch
Ash Brannon
Mike Leigh
Guy Hamilton
Andrew Mollo
Károly Makk
Brian Henson
Cheol-su Park
Charles B. Griffith
John Gray
Claude Nuridsany
Eric Goldberg
Francis Megahy
Silvio Narizzano
Kevin Bacon
Kevin Lima
Lorenzo Doumani
Susan Muska
Rob Hardy
Rocky Morton
Peter R. Simpson
Steven Maler
Robert Rodriguez
Charles Crichton
Nina Menkes
Tod Williams
Dan Kuenster
John Patrick Kelley
Walt Disney
Manny Coto
William Dieterle
Stephan Elliott
Anne Fontaine
Rob Minkoff
George Fitzmaurice
Martin Enlen
Eugene Corr
Guy Maddin
Bob Logan
David Keating
Ralph Bakshi
François Dupeyron
Richard Benjamin
Jack Hulbert
Peter Hall
Erick Zonca
Ub Iwerks
Roland Joffé
Stuart Rosenberg
Fred Gerber
Lilly Wachowski
Aaron Kim Johnston
John Asher
Richard Quine
Marc Caro
David Mickey Evans
Sarah Kelly
Marcel Carné
Jeff Kanew
Gavin O'Connor
Richard Pearce
Adrienne Shelly
Marco Brambilla
John Ford
Stuart Orme
Alfonso Arau
Steve Cohen
Lewis Milestone
Mike Newell
Fletcher Markle
Ishirô Honda
Michael Gottlieb
Daniel Taplitz
Beeban Kidron
David Raynr
Brian G. Hutton
Eric Red
Luigi Cozzi
Winchell Smith
Arthur Hiller
Scott Silver
Tessa Blake
Arthur Marks
Ken Loach
Peter O'Fallon
Brian Mulroney
John Roberts
Deborah Kaplan
Michael Blakemore
David Moreton
Izidore K. Musallam
Wanda Jakubowska
David Fincher
Clyde Geronimi
Vincent McEveety
John Tatoulis
Keith Samples
Chris Columbus
James Ivory
David Leland
Danny Cannon
Jon Blair
Nancy Meyers
Peter Faiman
John F. Sullivan
Sergei M. Eisenstein
John G. Young
James D.R. Hickox
Chris Browne
Yang Zhang
Alain Tanner
Jean-Paul Rappeneau
Herk Harvey
John Lasseter
David Cronenberg
Archie Mayo
Ida Lupino
James Lapine
Joe Alves
Edgar G. Ulmer
Claude Sautet
Stephen Gyllenhaal
George Miller
Murray Lerner
Morgan J. Freeman
Fritz Kiersch
Sam Peckinpah
Lance Young
Kim Henkel
Trevor Nunn
Michael Covert
Lee Unkrich
Dick Zondag
Jerry Ciccoritti
Andrew Fleming
Lee H. Katzin
Alexandre Rockwell
Preston Sturges
Richard Marquand
Suri Krishnamma
Roger Christian
Charles Chaplin
Paul Mazursky
Ian MacNaughton
Tom Boutross
Willard Carroll
George Mendeluk
Rafal Zielinski
Jefri Aalmuhammed
Scott Michell
Daniel Algrant
Andy Tennant
Russ Meyer
Wojciech Has
Billy Wilder
Martin Lawrence
Jon Reiss
Hugh Johnson
Bill Plympton
John De Bello
Ron Underwood
Paul Sabella
Anjelica Huston
Robert Towne
Carl Schenkel
Robert Rossen
William C. McGann
Luis Mandoki
Todd Holland
Woo-Ping Yuen
Steven Okazaki
George Bowers
Susanna Styron
Roy William Neill
Mohsen Makhmalbaf
Buster Keaton
Tommy O'Haver
Tinto Brass
George Abbott
Jack Hill
Christopher Scott Cherot
Joshua Meador
Mick Jackson
Sam Taylor
Julia Sweeney
Ivan Reitman
Cecil B. DeMille
Gordon Willis
Gary Ross
Shane Meadows
Giuliano Montaldo
Daphna Kastner
Roger Avary
Sam Wanamaker
Benoît Lamy
Andrew Solt
Alan J. Pakula
Djibril Diop Mambéty
Daisy von Scherler Mayer
Jeremy Leven
Kevin Altieri
Martin Scorsese
Sandip Ray
Fred Walton
Graham Heid
Mario Camerini
Abel Ferrara
Akira Kurosawa
Jean Renoir
Craig Bolotin
Timothy Hutton
Valerie Red-Horse
Rodney Gibbons
Julian Schnabel
Benito Zambrano
Anthony Waller
James Mangold
Álex de la Iglesia
Andrew Sipes
Phillip Borsos
Gregor Nicholas
Dwight H. Little
Norman Foster
David Winning
Clement Virgo
Milcho Manchevski
Harry Winer
Roger Allers
Jim McBride
Brian Helgeland
Brian Clemens
Curzio Malaparte
Jim Kouf
Charles A. Nichols
Bronwen Hughes
Cathy Caplan
John Sturges
Darren Stein
Christopher Monger
Valerie Breiman
Jim Wynorski
John Maybury
Edward Dmytryk
James Toback
Tarsem Singh
Lucio Fulci
Bruce Beresford
Clive Barker
Terry Gilliam
René Laloux
Anthony Asquith
Stephen Sommers
Chris Menges
Larry Karaszewski
Ted Kotcheff
Joseph Vilsmaier
Ford Beebe Jr.
Mike Nichols
Ulu Grosbard
Ted Berman
Jonathan Mostow
Daniel Petrie
Seth Michael Donsky
Jack Nicholson
Tom Stoppard
Alfred Sole
Steven Brill
Michael Polish
George Tillman Jr.
Kurt Neumann
Nagisa Ôshima
Richard LaGravenese
Shirley Barrett
Joe Mantello
Randall Miller
Pier Paolo Pasolini
George P. Cosmatos
Roman Polanski
John Barry
Jennie Livingston
Bernardo Bertolucci
Richard Rush
Damon Santostefano
Rachel Talalay
Lindsay Anderson
Carlo Carlei
Neal Israel
John Ruane
Robert Mugge
David Lean
Bharat Nalluri
Thaddeus O'Sullivan
Susan Skoog
Richard Linklater
Sharon Pollack
Mark Christopher
Peter Howitt
Terence Davies
Ana Kokkinos
Boris Sagal
Christian Duguay
Emir Kusturica
Shigeyasu Yamauchi
Brenda Chapman
Kevin Spacey
Nelson Shin
John L'Ecuyer
Lewis John Carlino
Marleen Gorris
Jane Campion
Jerzy Kaszubowski
Val Lik
Ron Fricke
Andrew Niccol
Ramón Menéndez
Jesús Franco
Tim McCanlies
Dan Ireland
Bill Bennett
Tim Roth
Gillian Armstrong
Franklin J. Schaffner
Scott Elliott
Peter Sellers
Randy Barbato
Matthew Warchus
Philip Frank Messina
Wayne Wang
Sidney Poitier
Jerry Paris
Marion Hänsel
Boyd Kirkland
Edward Norton
Paul Newman
John S. Robertson
Todd Solondz
Larry Bishop
Jeb Stuart
Andrzej Bartkowiak
Milton Moses Ginsberg
Arthur Penn
Adam Resnick
Rob DeFranco
William Shatner
Robert Lee King
Leo McCarey
Chris Hegedus
Leslie Woodhead
Ken Finkleman
Bernard McEveety
Geoff Burton
Darnell Martin
Vern Oakley
Mary Harron
Gordon Parks
Yvette Kaplan
Tony Goldwyn
Tommy Lee Wallace
Tian-Ming Wu
Sergio Martino
Jan de Bont
Norman Taurog
Jafar Panahi
Mel Brooks
Nikita Mikhalkov
Tom Tykwer
Greg Beeman
Nicholas Meyer
Brett Thompson
Mark Rappaport
George Stevens
Howard Hawks
Philippe Mora
Gary Winick
Theresa Connelly
Campbell Scott
Jean Bach
Erik Burke
Lloyd Kaufman
Ethan Wiley
Alan Cohn
Rod Amateau
Robert Wuhl
Lewis Teague
Joan Chen
Michael Dinner
Roger Donaldson
Robert De Niro
Roberto Benabib
Gary Sherman
Matthew Diamond
Hirokazu Koreeda
Peyton Reed
Randall Wallace
Jennifer Wynne Farmer
Danny Steinmann
Jennifer Leitzes
James D. Parriott
Larry Arrick
William Cottrell
Anthony Perkins
Stephen Hopkins
Ben Younger
Andrew Birkin
Jay Russell
